Usuario,IP,ID Exclusivo
,172.22.44.118,64:00:6a:83:72:85
,172.22.44.210,08:00:27:5b:d9:73
aaenriquezw10,172.22.44.103,54:bf:64:8b:6e:c7
aahidalgow10,172.22.44.100,5c:60:ba:e0:14:d0
amgarciaw10,172.22.44.175,64:00:6a:83:55:e1
apaguirrewin10,172.22.44.134,38:ca:84:b0:80:68
asantillanw10,172.22.44.64,84:69:93:79:b5:d9
azavalaw10,172.22.44.31,84:69:93:81:4c:99
bbonillaw10,172.22.44.176,84:69:93:7a:4f:cc
bce-Precision-Tower-5810,172.22.44.97,64:00:6a:83:55:c4
bceqdesd02,172.22.44.184,38:ca:84:b0:75:df
bponcew10,172.22.44.190,54:bf:64:8b:73:47
CPUGA2W10,172.22.44.17,84:69:93:7a:b8:65
cromanwin10,172.22.44.179,7c:57:58:1b:14:0f
csaavedrawin10,172.22.44.117,7c:57:58:1b:19:7d
dajaraw10,172.22.44.166,84:69:93:7a:b3:fa
dchapalbayw10,172.22.44.180,54:bf:64:8b:dd:d3
ddalmeidaw10,172.22.44.14,38:ca:84:b0:7e:51
ddjaramillow10,172.22.44.113,84:69:93:7a:b6:31
dibarraw10,172.22.44.182,7c:57:58:1b:1a:3b
dpichucho10w,172.22.44.50,6c:62:6d:d8:61:c2
DPICHUCHOW10,172.22.44.131,38:ca:84:b0:80:40
dvasconezw10,172.22.44.18,84:69:93:7a:bc:38
ealcaciegaw10,172.22.44.151,5c:60:ba:e0:14:d3
eealvarezw10,172.22.44.196,10:60:4b:85:31:5a
enicolalde2w10,172.22.44.12,84:69:93:7a:b8:6d
esegarrawin10,172.22.44.144,b4:96:91:33:cb:24
etenelema1w10,172.22.44.106,38:ca:84:b0:7e:4e
fabian-Precision-Tower-3430,172.22.44.164,b4:96:91:33:c8:a0
FALBUJAPRTW10,172.22.44.203,a0:29:19:66:90:2d
falbujaprtw7,172.22.44.209,a0:1d:48:f4:cf:03
fdlcruzportw10,172.22.44.148,a0:29:19:66:94:3b
fdlcruzpw10,172.22.44.224,5c:60:ba:e4:78:55
flovato1w10,172.22.44.38,38:ca:84:b0:7a:ff
fluna10w,172.22.44.41,64:00:6a:83:d0:b2
fluna10wn,172.22.44.122,5c:60:ba:e0:14:83
freyesw10,172.22.44.107,38:ca:84:b0:80:53
gcevallos10w,172.22.44.147,64:00:6a:83:77:c5
gcevallosw10,172.22.44.237,5c:60:ba:e0:15:27
geraswin10,172.22.44.139,38:ca:84:b0:80:48
gf0,172.22.44.67,10:60:4b:89:d7:59
ggenriquezw10,172.22.44.99,84:69:93:7a:bd:2a
GJIJONW10,172.22.44.168,84:69:93:7a:4f:54
htoapantaw10,172.22.44.205,38:ca:84:b0:80:20
hvasco1w7,172.22.44.137,RA:S
hvasco1w7,172.22.44.173,d4:c9:ef:ed:6f:8f
IGUEVARAW10,172.22.44.37,84:69:93:7a:51:fd
jcabreraw10,172.22.44.23,5c:60:ba:e0:14:ce
jfarias1w10,172.22.44.127,84:69:93:7a:b8:a8
jherediapw10,172.22.44.208,a0:29:19:66:90:24
jjijonw10,172.22.44.169,54:bf:64:89:a3:05
jjrojasw10,172.22.44.89,54:bf:64:8b:72:65
JMARCILLOPRTW10,172.22.44.142,a0:1d:48:f4:8f:99
