Usuario,IP,ID Exclusivo
mcaizaw7,172.22.45.10,10:60:4b:87:27:84
cmantillawin10,172.22.45.13,54:bf:64:8b:73:52
eacalderonw10,172.22.45.17,54:bf:64:8b:71:76
batienciapw10,172.22.45.21,7c:57:58:20:ec:3a
jdvasquezw7,172.22.45.23,10:60:4b:84:b5:fd
mrherreraportw7,172.22.45.25,80:ee:73:b6:6b:f9
mlita10w,172.22.45.29,54:bf:64:8b:71:e7
vecedenoportw7,172.22.45.31,74:e6:e2:4a:66:43
cvasconezportw7,172.22.45.45,80:ee:73:b6:6c:21
eguanoluisaw10,172.22.45.47,54:bf:64:8b:71:aa
jiromerow7,172.22.45.52,6c:62:6d:d5:c5:a6
pfruizwin10,172.22.45.59,6c:62:6d:d8:62:50
jojedapw10,172.22.45.61,7c:57:58:20:ec:48
jfruizrpw10,172.22.45.63,5c:60:ba:e4:78:8e
ccoello1w7,172.22.45.66,6c:62:6d:d5:c7:f3
abustillosw7,172.22.45.71,1c:1b:0d:1e:b4:53
jtacuriw10,172.22.45.73,6c:62:6d:d8:61:57
vgarcesw7,172.22.45.77,6c:62:6d:d5:c7:7d
rcalderonw7,172.22.45.79,6c:62:6d:d5:c6:76
rkcarrillow10,172.22.45.86,54:bf:64:8b:6e:a7
mcastanedaw10,172.22.45.95,54:bf:64:8b:d8:a9
csanchezw10,172.22.45.99,38:ca:84:b0:7d:f1
sramosw10,172.22.45.102,10:60:4b:8a:19:5e
lcastillo1w10,172.22.45.103,5c:60:ba:e0:14:98
aalulemapw10,172.22.45.104,a0:29:19:81:30:cf
aimbaquingow10,172.22.45.106,00:26:b9:80:89:fc
giza1w10,172.22.45.108,38:ca:84:b0:7d:f2
vmoralesw10p,172.22.45.112,5c:60:ba:e4:78:74
transportes1w7,172.22.45.114,00:26:b9:80:82:61
asaldarriagapw10,172.22.45.115,5c:60:ba:e4:78:6c
vorozcow10,172.22.45.116,00:26:b9:80:8a:6d
imoranpw10,172.22.45.117,7c:57:58:20:ec:3b
ffflores1w10,172.22.45.121,84:69:93:7a:b7:f6
jruedaw10,172.22.45.123,84:69:93:7a:51:10
malopezpw10,172.22.45.124,5c:60:ba:e0:14:d2
zdavilaw10,172.22.45.125,38:ca:84:b0:80:4d
hsanchezw10,172.22.45.126,7c:57:58:1b:1a:28
larrobow10,172.22.45.129,38:ca:84:b0:76:0e
cguanoluisaw10,172.22.45.130,84:69:93:7a:51:14
cbautistawin10,172.22.45.131,5c:60:ba:e0:15:2d
mulcuangow10,172.22.45.132,7c:57:58:1b:14:42
camoraportw10,172.22.45.136,a0:29:19:66:94:26
mcaizapw10,172.22.45.137,a0:29:19:66:91:c6
mrherrerapw10,172.22.45.139,a0:29:19:66:91:b9
mvegajw10,172.22.45.144,54:bf:64:8b:6e:96
jpulamarinwin7,172.22.45.165,10:60:4b:8d:04:65
tonaw10,172.22.45.190,84:69:93:7a:b8:2a
ssalazarmw7,172.22.45.200,64:00:6a:83:cf:13
aalulema1w10,172.22.45.247,10:60:4b:86:6c:ce
jpandradew10,172.22.45.249,10:60:4b:87:27:b0
